"REF_DATE","GEO","DGUID","Age group","Sex","Response","Estimates","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2016","Canada","2016A000011124","Total, 15 years and over","Both sexes","Total, job satisfaction","Number of persons","Persons","249","thousands","3","v116319003","1.1.1.1.1","15167","","","","0"
"2016","Canada","2016A000011124","Total, 15 years and over","Both sexes","Total, job satisfaction","Percentage of persons","Percent","239","units ","0","v116319004","1.1.1.1.2","100.0","","","","1"
"2016","Canada","2016A000011124","Total, 15 years and over","Both sexes","Total, job satisfaction","Low 95% confidence interval, percent","Percent","239","units ","0","v116319005","1.1.1.1.3","100.0","","","","1"
"2016","Canada","2016A000011124","Total, 15 years and over","Both sexes","Total, job satisfaction","High 95% confidence interval, percent","Percent","239","units ","0","v116319006","1.1.1.1.4","100.0","","","","1"
"2016","Canada","2016A000011124","Total, 15 years and over","Both sexes","Very satisfied or satisfied","Number of persons","Persons","249","thousands","3","v116747325","1.1.1.8.1","12730","","","","0"
"2016","Canada","2016A000011124","Total, 15 years and over","Both sexes","Very satisfied or satisfied","Percentage of persons","Percent","239","units ","0","v116747326","1.1.1.8.2","83.9","","","","1"
"2016","Canada","2016A000011124","Total, 15 years and over","Both sexes","Very satisfied or satisfied","Low 95% confidence interval, percent","Percent","239","units ","0","v116747327","1.1.1.8.3","82.8","","","","1"
"2016","Canada","2016A000011124","Total, 15 years and over","Both sexes","Very satisfied or satisfied","High 95% confidence interval, percent","Percent","239","units ","0","v116747328","1.1.1.8.4","85.0","","","","1"
"2016","Canada","2016A000011124","Total, 15 years and over","Both sexes","Very satisfied","Number of persons","Persons","249","thousands","3","v116319007","1.1.1.2.1","5180","","","","0"
"2016","Canada","2016A000011124","Total, 15 years and over","Both sexes","Very satisfied","Percentage of persons","Percent","239","units ","0","v116319008","1.1.1.2.2","34.2","","","","1"
"2016","Canada","2016A000011124","Total, 15 years and over","Both sexes","Very satisfied","Low 95% confidence interval, percent","Percent","239","units ","0","v116319009","1.1.1.2.3","32.9","","","","1"
"2016","Canada","2016A000011124","Total, 15 years and over","Both sexes","Very satisfied","High 95% confidence interval, percent","Percent","239","units ","0","v116319010","1.1.1.2.4","35.5","","","","1"
"2016","Canada","2016A000011124","Total, 15 years and over","Both sexes","Satisfied","Number of persons","Persons","249","thousands","3","v116319011","1.1.1.3.1","7550","","","","0"
"2016","Canada","2016A000011124","Total, 15 years and over","Both sexes","Satisfied","Percentage of persons","Percent","239","units ","0","v116319012","1.1.1.3.2","49.8","","","","1"
"2016","Canada","2016A000011124","Total, 15 years and over","Both sexes","Satisfied","Low 95% confidence interval, percent","Percent","239","units ","0","v116319013","1.1.1.3.3","48.4","","","","1"
"2016","Canada","2016A000011124","Total, 15 years and over","Both sexes","Satisfied","High 95% confidence interval, percent","Percent","239","units ","0","v116319014","1.1.1.3.4","51.2","","","","1"
"2016","Canada","2016A000011124","Total, 15 years and over","Both sexes","Neither satisfied nor dissatisfied","Number of persons","Persons","249","thousands","3","v116319015","1.1.1.4.1","1411","","","","0"
"2016","Canada","2016A000011124","Total, 15 years and over","Both sexes","Neither satisfied nor dissatisfied","Percentage of persons","Percent","239","units ","0","v116319016","1.1.1.4.2","9.3","","","","1"
"2016","Canada","2016A000011124","Total, 15 years and over","Both sexes","Neither satisfied nor dissatisfied","Low 95% confidence interval, percent","Percent","239","units ","0","v116319017","1.1.1.4.3","8.4","","","","1"
"2016","Canada","2016A000011124","Total, 15 years and over","Both sexes","Neither satisfied nor dissatisfied","High 95% confidence interval, percent","Percent","239","units ","0","v116319018","1.1.1.4.4","10.2","","","","1"
"2016","Canada","2016A000011124","Total, 15 years and over","Both sexes","Dissatisfied or very dissatisfied","Number of persons","Persons","249","thousands","3","v116747329","1.1.1.9.1","872","","","","0"
"2016","Canada","2016A000011124","Total, 15 years and over","Both sexes","Dissatisfied or very dissatisfied","Percentage of persons","Percent","239","units ","0","v116747330","1.1.1.9.2","5.8","","","","1"
"2016","Canada","2016A000011124","Total, 15 years and over","Both sexes","Dissatisfied or very dissatisfied","Low 95% confidence interval, percent","Percent","239","units ","0","v116747331","1.1.1.9.3","5.1","","","","1"
"2016","Canada","2016A000011124","Total, 15 years and over","Both sexes","Dissatisfied or very dissatisfied","High 95% confidence interval, percent","Percent","239","units ","0","v116747332","1.1.1.9.4","6.4","","","","1"
"2016","Canada","2016A000011124","Total, 15 years and over","Both sexes","Dissatisfied","Number of persons","Persons","249","thousands","3","v116319019","1.1.1.5.1","664","","","","0"
"2016","Canada","2016A000011124","Total, 15 years and over","Both sexes","Dissatisfied","Percentage of persons","Percent","239","units ","0","v116319020","1.1.1.5.2","4.4","","","","1"
"2016","Canada","2016A000011124","Total, 15 years and over","Both sexes","Dissatisfied","Low 95% confidence interval, percent","Percent","239","units ","0","v116319021","1.1.1.5.3","3.8","","","","1"
"2016","Canada","2016A000011124","Total, 15 years and over","Both sexes","Dissatisfied","High 95% confidence interval, percent","Percent","239","units ","0","v116319022","1.1.1.5.4","5.0","","","","1"
"2016","Canada","2016A000011124","Total, 15 years and over","Both sexes","Very dissatisfied","Number of persons","Persons","249","thousands","3","v116319023","1.1.1.6.1","208","","","","0"
"2016","Canada","2016A000011124","Total, 15 years and over","Both sexes","Very dissatisfied","Percentage of persons","Percent","239","units ","0","v116319024","1.1.1.6.2","1.4","","","","1"
"2016","Canada","2016A000011124","Total, 15 years and over","Both sexes","Very dissatisfied","Low 95% confidence interval, percent","Percent","239","units ","0","v116319025","1.1.1.6.3","1.1","","","","1"
"2016","Canada","2016A000011124","Total, 15 years and over","Both sexes","Very dissatisfied","High 95% confidence interval, percent","Percent","239","units ","0","v116319026","1.1.1.6.4","1.7","","","","1"
"2016","Canada","2016A000011124","Total, 15 years and over","Both sexes","Don't know/refusal/not stated","Number of persons","Persons","249","thousands","3","v116319027","1.1.1.7.1","154","","","","0"
"2016","Canada","2016A000011124","Total, 15 years and over","Both sexes","Don't know/refusal/not stated","Percentage of persons","Percent","239","units ","0","v116319028","1.1.1.7.2","1.0","","","","1"
"2016","Canada","2016A000011124","Total, 15 years and over","Both sexes","Don't know/refusal/not stated","Low 95% confidence interval, percent","Percent","239","units ","0","v116319029","1.1.1.7.3","0.8","","","","1"
"2016","Canada","2016A000011124","Total, 15 years and over","Both sexes","Don't know/refusal/not stated","High 95% confidence interval, percent","Percent","239","units ","0","v116319030","1.1.1.7.4","1.3","","","","1"
